R_in_CGS,V_in_CGS,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,Max radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
0.04,7.457881736793632,0,0.0309,0,0.9732649621479884,0.9732649621479884,3.118196613847866,0.0029398639609663425,1.7450299535044298,0.0698011981401772,1.4482546634550484,0.001365427591218808,1.0483750611222356,0.04193500244488942,1.570988109510561,0.0014811417938644697,0.37341705664309754,0.014936682265723903,2.2260778778318593,0.0020987663504856893,1.0471835712257236,0.041887342849028945,1.5587147649050097,0.0014695703735999035,1.83265323781558,0.0733061295126232,1.5433730841480706,0.0014551060982691958
0.04,8.389278872465738,0,0.0391,0,0.9760284947622143,0.9760284947622144,3.0414882100631706,0.0028675425843128037,1.7140129779561,0.068560519118244,1.3838196042759041,0.0013046776348298356,1.055399406033834,0.04221597624135336,1.5525780926022341,0.0014637846634676206,0.37410119416239423,0.014964047766495769,2.2736370881783703,0.002143605604010883,1.054421461979425,0.042176858479177,1.5433730841480706,0.0014551060982691958,1.8177353746477931,0.07270941498591173,1.503484714180029,0.0014174989824093558
0.04,10.606601717798213,0,0.0625,0,0.9761302155307805,0.9761302155307805,2.926425604386128,0.002759060519332496,1.640318570764771,0.06561274283059083,1.3822854362002104,0.001303231207296765,1.0735393354461358,0.04294157341784543,1.5096213864828045,0.0014232846925416388,0.43897820223784206,0.01755912808951368,2.101810263700653,0.0019816057203069564,1.0727321059205945,0.04290928423682378,1.5096213864828045,0.0014232846925416388,1.7852527092466526,0.07141010836986611,1.4175713019411702,0.0013364990405573926
0.04,11.932309080810805,0,0.0791,0,0.9756870952062952,0.9756870952062952,2.877332225963923,0.0027127748382742315,1.5982764832757694,0.06393105933103078,1.3163162089453724,0.0012410348233747217,1.0836425930509912,0.04334570372203965,1.4927455376501717,0.0014073739896778605,0.4406845982868225,0.0176273839314729,2.135561961365919,0.002013427126034514,1.08282776655385,0.043313110662154,1.4927455376501717,0.0014073739896778605,1.7677573433657503,0.07071029373463002,1.3776829319731285,0.0012988919246975524
0.04,13.416407864998739,0,0.1,0,0.9729634170109815,0.9729634170109815,2.8159655029361668,0.0026549177369514006,1.5472793101065494,0.06189117240426198,1.317850377021066,0.0012424812509077923,1.0958428714777952,0.04383371485911181,1.469733016514763,0.001385677576681799,0.4893695198878827,0.019574780795515306,0.8836808115996905,0.0008331422590487641,1.0950188711901456,0.04380075484760582,1.469733016514763,0.001385677576681799,1.749789427187571,0.06999157708750284,1.3301237216266175,0.0012540526711723587
0.04,16.40426773739078,0,0.1495,0,0.9664874304755708,0.9664874304755708,2.725449586470226,0.002569578512500225,1.4472153833240395,0.05788861533296158,1.2748936709016367,0.0012019812799818107,1.1187068193513756,0.04474827277405503,1.4237079742439458,0.0013422847506896756,0.5448934835781492,0.021795739343125967,0.9358425261732833,0.0008823207951731704,1.1178656269095266,0.04471462507638107,1.4237079742439458,0.0013422847506896756,1.7176924378770633,0.06870769751508253,1.2472786455391465,0.001175945584386537
0.04,18.926172354705006,0,0.199,0,0.9597153640018584,0.9597153640018583,2.6518095188369184,0.002500149990912828,1.3624749866260946,0.05449899946504378,1.2211977882523501,0.001151356316324334,1.137608576665281,0.04550434306661124,1.3960929488814555,0.001316249055094402,0.5633436290946932,0.022533745163787727,0.6412822556400531,0.0006046067088235823,1.136753171370596,0.04547012685482384,1.3960929488814555,0.001316249055094402,1.694605829890065,0.0677842331956026,1.1797752502086145,0.001112302772931423
0.04,21.14946807841748,0,0.2485,0,0.95233014406293,0.9523301440629302,2.5889086277334683,0.0024408464620569266,1.2834945704766283,0.051339782819065136,1.2104586117224927,0.0011412313235928384,1.1525909832990744,0.04610363933196298,1.3792171000488225,0.0013003383522306232,0.6125302597689913,0.024501210390759653,0.7885623909066682,0.0007434637519983764,1.1517243122402026,0.046068972489608104,1.3792171000488225,0.0013003383522306232,1.676044355549585,0.0670417742219834,1.1337502079377975,0.0010689099469393
0.04,23.16031087874254,0,0.298,0,0.946156223094805,0.9461562230948051,2.545951921614039,0.0024003464911309448,1.217075222828972,0.04868300891315888,1.172104409830145,0.0011050706352660692,1.1690613744371434,0.04676245497748574,1.0631784764558776,0.0010023742804180444,0.6284902086800117,0.02513960834720047,0.6213380706560324,0.0005858031508936623,1.1681823187496094,0.04672729274998438,1.0631784764558776,0.0010023742804180444,1.661306809052986,0.06645227236211945,1.0969301741211437,0.0010341956861456016
0.04,25.0099980007996,0,0.3475,0,0.9399146929106822,0.9399146929106821,2.502995215494609,0.002359846520204963,1.1514799425207125,0.0460591977008285,1.1644335694516754,0.0010978384976007153,1.1830684603642398,0.0473227384145696,1.0509051318503264,0.0009908028601534782,0.6398263212743002,0.025593052850972006,0.5262196499630102,0.0004961246438432746,1.1821788722882278,0.04728715489152911,1.0509051318503264,0.0009908028601534782,1.6483704751475823,0.0659348190059033,1.0693151487586532,0.0010081599905503275
0.04,26.732003291934557,0,0.397,0,0.9340538622698155,0.9340538622698155,2.4707776859050377,0.0023294715420104774,1.0884780184807474,0.0435391207392299,1.141421048316267,0.0010761420846046538,1.197071610251935,0.0478828644100774,1.0309609468663057,0.0009719993022235583,0.6824137858605979,0.027296551434423916,0.6980464744407278,0.000658124527547201,1.1961714927470828,0.04784685970988331,1.0309609468663057,0.0009719993022235583,1.6373879379369845,0.06549551751747938,1.0432342914718569,0.0009835707224881245
0.04,28.34960317182588,0,0.4465,0,0.9283973584541367,0.9283973584541367,2.446230996693935,0.0023063287014813447,1.0381863706549235,0.04152745482619694,1.119942695256552,0.0010558920991416629,1.2104503760680985,0.04841801504272394,1.0186876022607543,0.0009604278819589921,0.6968834978832352,0.02787533991532941,0.593723045293542,0.0005597674552983885,1.2095401986293197,0.04838160794517279,1.0186876022607543,0.0009604278819589921,1.6281269852233577,0.0651250794089343,1.0186876022607543,0.0009604278819589921
0.04,29.87975903517296,0,0.496,0,0.922703049139902,0.922703049139902,2.4247526436342204,0.002286078716018354,0.984663025576262,0.03938652102305048,1.1153401910294705,0.0010515528165424507,1.2219881722770565,0.04887952689108226,1.0110167618822847,0.0009531957442936382,0.7080289134056583,0.028321156536226334,0.5246854818873162,0.0004946782163102037,1.221069319189932,0.048842772767597284,1.0110167618822847,0.0009531957442936382,1.6196567895150067,0.06478627158060027,0.9972092492010396,0.0009401778964960013
0.04,31.335283627246778,0,0.5455,0,0.9169274443489982,0.9169274443489982,2.4048084586501997,0.0022672751580884343,0.9314487738180945,0.03725795095272378,1.1015326783482253,0.0010385349687448138,1.2324960108629501,0.04929984043451801,1.006414257655203,0.000948856461694426,0.7165395079515862,0.028661580318063446,0.4755921034651112,0.0004483925352519391,1.231569256586483,0.04926277026345932,1.006414257655203,0.000948856461694426,1.611757238337233,0.06447028953348932,0.9772650642170189,0.0009213743385660813
0.04,32.72338613285611,0,0.5949,0,0.9116102301690157,0.9116102301690157,2.3879326098175664,0.0022513644552246553,0.8820623772969264,0.03528249509187706,1.0877251656669802,0.0010255171209471768,1.2424587953641002,0.04969835181456401,0.9972092492010396,0.0009401778964960013,0.7436907695453625,0.0297476307818145,0.7011148105921156,0.0006610173826133424,1.2415245497423788,0.04966098198969515,0.9972092492010396,0.0009401778964960013,1.6044547744896605,0.06417819097958642,0.9603892153843858,0.0009054636357023028
0.04,33.94112549695428,0,0.64,0,0.9078744364839791,0.9078744364839791,2.3725909290606273,0.002236900179893948,0.842146336216185,0.0336858534486474,1.0693151487586532,0.0010081599905503275,1.2512743899277823,0.050050975597111295,0.9880042407468762,0.0009314993312975766,0.7606573093809716,0.030426292375238865,0.6075305579747872,0.0005727853030960253,1.2503335155706414,0.050013340622825656,0.9880042407468762,0.0009314993312975766,1.5988036620466692,0.06395214648186677,0.9465817027031407,0.0008924457879046658
0.04,34.20526275297414,0,0.65,0,0.39164823941036625,0.3916482394103662,1.6367556213849217,0.0015431479987019728,0.8345017439221434,0.03338006975688573,1.0677809806829595,0.001006713563017257,1.253068406657036,0.050122736266281435,0.9880042407468762,0.0009314993312975766,0.7633188038688015,0.030532752154752058,0.593723045293542,0.0005597674552983885,1.252126183319727,0.05008504733278908,0.9880042407468762,0.0009314993312975766,1.5976213192713442,0.06390485277085377,0.9435133665517529,0.0008895529328385243
1000,0.1,0.072,0.0004,0.1341640786499874,0.1,0,0,40,0.0026549177369514006,0.00019574780795515305,0.0004380075484760582,0.0006999157708750284,0.0006189117240426198,0.001385677576681799,0.0008331422590487641,0.9729634170109815,0.9729634170109815,________,2.8159655029361668,0.4893695198878827,1.0950188711901456,1.749789427187571,1.5472793101065494,1.469733016514763,0.8836808115996905,1.317850377021066,0.0012424812509077923,1.0958428714777952,0.0004383371485911181,1.469733016514763,0.001385677576681799,1.3301237216266175,0.0012540526711723587
